Mode,L1 Size,L2 Size,Block Size,Associativity,Policy,L1 Hits,L1 Misses,L2 Hits,L2 Misses,Memory Accesses,Total Accesses,L1 Hit Rate (%),L2 Hit Rate (%),Total Cycles,Total Hit Rate (%)
Single,512,-,32,1,LRU,900,100,-,-,100,1000,90.0,-,5900,90.0
Multi,512,2048,32,1,LRU,900,100,42,58,58,1000,90.0,42.0,4010,90.0
Single,512,-,32,1,Random,900,100,-,-,100,1000,90.0,-,5900,90.0
Multi,512,2048,32,1,Random,900,100,55,45,45,1000,90.0,55.0,3425,90.0
Single,512,-,32,1,FIFO,900,100,-,-,100,1000,90.0,-,5900,90.0
Multi,512,2048,32,1,FIFO,900,100,42,58,58,1000,90.0,42.0,4010,90.0
Single,512,-,32,2,LRU,915,85,-,-,85,1000,91.5,-,5165,91.5
Multi,512,2048,32,2,LRU,885,115,71,44,44,1000,88.5,61.74,3440,88.5
Single,512,-,32,2,Random,909,91,-,-,91,1000,90.9,-,5459,90.9
Multi,512,2048,32,2,Random,895,105,61,44,44,1000,89.5,58.1,3400,89.5
Single,512,-,32,2,FIFO,910,90,-,-,90,1000,91.0,-,5410,91.0
Multi,512,2048,32,2,FIFO,885,115,69,46,46,1000,88.5,60.0,3530,88.5
Single,512,-,32,4,LRU,915,85,-,-,85,1000,91.5,-,5165,91.5
Multi,512,2048,32,4,LRU,915,85,41,44,44,1000,91.5,48.24,3320,91.5
Single,512,-,32,4,Random,909,91,-,-,91,1000,90.9,-,5459,90.9
Multi,512,2048,32,4,Random,908,92,46,46,46,1000,90.8,50.0,3438,90.8
Single,512,-,32,4,FIFO,910,90,-,-,90,1000,91.0,-,5410,91.0
Multi,512,2048,32,4,FIFO,905,95,49,46,46,1000,90.5,51.58,3450,90.5
Single,512,-,64,1,LRU,921,79,-,-,79,1000,92.1,-,4871,92.10000000000001
Multi,512,2048,64,1,LRU,921,79,30,49,49,1000,92.1,37.97,3521,92.10000000000001
Single,512,-,64,1,Random,921,79,-,-,79,1000,92.1,-,4871,92.10000000000001
Multi,512,2048,64,1,Random,921,79,51,28,28,1000,92.1,64.56,2576,92.10000000000001
